	max,0.047123600077229	mean,0.0955425759131972	min,0.4392004597982239	UMAP 0	UMAP 1	Colors	Target
0	2604	186	4	2.5002086	6.1099977	black	0
1	2846	188	6	-4.7184854	8.84996	black	1
2	690	184	5	1.9823095	-3.8799095	black	2
3	3276	182	2	12.895408	5.8546176	black	3
4	3307	180	5	5.1973886	-1.9073184	black	4
5	3365	179	1	6.4150558	9.672701	black	5
6	2582	182	2	12.195666	11.749153	black	6
7	3381	185	4	0.41303983	5.6615644	black	7
8	2887	182	2	12.727527	11.069829	black	8
9	3368	184	5	4.493478	-5.2312303	black	9
10	1299	185	4	-0.4350551	5.276818	black	10
11	3366	186	4	3.5354488	8.016996	black	11
12	3381	185	4	0.5209081	3.7284424	black	12
13	3363	183	3	0.41504195	12.425765	black	13
14	3122	182	2	11.817286	11.062643	black	14
15	3039	187	5	9.613545	-2.087002	black	15
16	3365	179	1	7.235403	10.299365	black	16
17	3374	186	4	5.8300104	3.8218584	black	17
18	3363	183	3	1.4621723	12.6530075	black	18
19	0	180	5	6.89111	-1.4585112	black	19
20	3081	184	5	1.6231143	-3.407994	black	20
21	881	188	6	-4.8478646	8.529247	black	21
22	3372	180	5	6.4835453	-1.222107	black	22
23	3276	182	2	12.891507	5.8040886	black	23
24	1	85	2	11.503365	9.181207	black	24
25	3373	179	1	8.296251	9.090273	black	25
26	3095	184	5	4.050032	-3.650083	black	26
27	3381	185	4	0.41613957	4.960756	black	27
28	3044	187	5	9.026324	-1.4522468	black	28
29	3362	187	5	9.700239	-1.5601474	black	29
30	3381	185	4	0.6454759	3.2898736	black	30
31	2	186	4	6.383608	4.0858135	black	31
32	3298	183	3	0.8226491	13.222862	black	32
33	3128	180	5	7.0070815	-1.3093102	black	33
34	3379	188	6	-3.7368839	9.152418	black	34
35	3366	186	4	3.3128226	7.6562176	black	35
36	3250	183	3	1.5736399	12.827946	black	36
37	3391	188	6	-3.8886127	8.858156	black	37
38	3073	187	5	7.597218	-3.5232098	black	38
39	3363	183	3	0.71180475	12.853445	black	39
40	1069	182	2	13.119235	9.885421	black	40
41	3374	186	4	5.0419564	3.7144337	black	41
42	3211	187	5	7.8962626	-3.0926323	black	42
43	1970	180	5	6.6533856	-1.7039031	black	43
44	3381	185	4	0.8693843	3.935256	black	44
45	3378	180	5	5.3710184	-1.5516337	black	45
46	2982	186	4	4.1995115	2.973197	black	46
