	max,0.0628213891568601	mean,0.0959761306221244	min,0.1634625334585075	UMAP 0	UMAP 1	Colors	Target
0	1283	110	3	5.6387277	6.593113	black	0
1	0	71	3	6.129766	5.721733	black	1
2	1273	110	3	6.272129	2.3915217	black	2
3	890	110	3	5.656391	3.9631538	black	3
4	1287	110	3	11.06052	5.321562	black	4
5	1280	110	3	7.2101426	7.3482585	black	5
6	1318	110	3	5.4665074	3.0821896	black	6
7	1329	110	3	8.359008	2.1530588	black	7
8	1077	110	3	9.389155	7.802542	black	8
9	1343	110	3	11.022968	6.744947	black	9
10	1306	110	3	5.1953382	7.4480233	black	10
11	1106	110	3	7.92609	8.722094	black	11
12	1202	110	3	8.960784	2.1072488	black	12
13	987	110	3	5.9032955	6.034444	black	13
14	1156	110	3	5.7853923	6.1304264	black	14
15	1322	110	3	10.492723	5.8552847	black	15
16	1247	110	3	8.232369	3.932987	black	16
17	1306	110	3	5.6090517	7.1846447	black	17
18	880	110	3	7.8402443	3.8320177	black	18
19	1324	110	3	9.232118	7.867122	black	19
20	1	0	3	7.4004135	4.0997972	black	20
21	1240	110	3	8.020791	5.4753933	black	21
22	1347	110	3	9.816963	4.2192287	black	22
23	1324	110	3	9.1347065	7.806943	black	23
24	1315	110	3	8.704102	7.580304	black	24
25	1349	110	3	8.64032	4.328935	black	25
26	1349	110	3	8.559007	4.2705135	black	26
27	1345	110	3	4.7437816	7.013414	black	27
28	1329	110	3	8.657402	2.8132024	black	28
29	1130	91	3	7.168328	5.68884	black	29
30	1347	110	3	9.849014	5.5749702	black	30
31	1329	110	3	10.190177	3.0542183	black	31
32	1329	110	3	8.828353	2.7323058	black	32
33	1344	110	3	5.400984	6.3501897	black	33
34	2	110	3	5.090756	6.83756	black	34
35	3	110	3	5.05825	5.4433837	black	35
36	406	110	3	7.646523	5.5344095	black	36
37	1328	110	3	11.399601	4.2406883	black	37
38	1290	110	3	5.5341797	6.089188	black	38
39	1347	110	3	9.557822	4.5262012	black	39
40	1334	110	3	4.473644	4.8929677	black	40
41	4	110	3	10.074913	2.8611665	black	41
42	1059	110	3	3.903719	4.9212627	black	42
43	1293	110	3	4.563297	3.8524783	black	43
44	1336	110	3	11.188243	4.8415084	black	44
45	786	110	3	6.3903456	4.250405	black	45
46	1173	110	3	8.56731	5.5468845	black	46
47	320	110	3	6.070913	3.1096144	black	47
48	5	110	3	7.411657	7.2092657	black	48
49	1347	110	3	10.907294	5.17763	black	49
50	6	1	3	6.900364	5.9618673	black	50
51	7	110	3	7.387479	4.543418	black	51
52	1037	110	3	10.051062	6.8548775	black	52
53	1347	110	3	9.754397	5.1929984	black	53
54	1329	110	3	8.229468	2.7869954	black	54
55	1280	110	3	7.3461967	7.513812	black	55
56	1321	110	3	7.252873	5.172251	black	56
57	1329	110	3	8.084306	2.4399228	black	57
58	8	110	3	4.9296594	3.1997957	black	58
59	57	110	3	10.1603985	6.7666197	black	59
60	1329	110	3	8.7199545	2.9656749	black	60
61	536	110	3	10.28977	6.688765	black	61
62	1143	110	3	9.917009	2.7803724	black	62
63	1187	110	3	5.800251	3.5796645	black	63
64	1345	110	3	4.2776217	6.3495393	black	64
65	1198	110	3	8.82084	5.2442584	black	65
66	1329	110	3	9.251901	3.7565536	black	66
67	1301	110	3	9.635023	2.673662	black	67
68	1096	110	3	5.9899716	2.810885	black	68
69	466	110	3	4.8237042	3.3576345	black	69
70	1324	110	3	9.197501	7.8633575	black	70
71	1345	110	3	4.729806	7.0748444	black	71
72	1267	110	3	8.977703	6.877203	black	72
73	9	2	3	10.939725	5.941045	black	73
74	1328	110	3	11.483984	4.3403435	black	74
75	66	105	3	7.536621	4.094089	black	75
76	574	110	3	4.099702	3.4073505	black	76
77	1328	110	3	11.571959	3.5816107	black	77
78	1329	110	3	8.609396	2.065892	black	78
79	1318	110	3	5.190249	3.1725733	black	79
80	294	110	3	8.660476	4.0745144	black	80
81	1298	110	3	8.269677	8.665184	black	81
82	497	110	3	4.702221	6.3773003	black	82
83	1325	110	3	10.211033	5.604356	black	83
84	1329	110	3	9.118741	3.891823	black	84
85	1329	110	3	8.271019	2.1926258	black	85
86	10	110	3	8.938742	2.5371068	black	86
87	1221	110	3	8.210869	4.479094	black	87
88	1345	110	3	4.761519	7.355519	black	88
89	1328	110	3	11.515986	3.7261963	black	89
90	1334	110	3	4.8034163	4.837315	black	90
91	1329	110	3	8.551155	3.170927	black	91
92	11	110	3	8.941914	6.1595616	black	92
93	1329	110	3	8.165441	2.1363058	black	93
94	714	110	3	6.828226	2.5663552	black	94
95	1155	110	3	8.524955	5.78816	black	95
96	1224	110	3	7.673353	5.785634	black	96
97	1252	110	3	8.444294	4.1368914	black	97
98	12	3	3	10.876572	6.0219545	black	98
99	1316	110	3	9.101485	2.2041082	black	99
100	211	110	3	7.919048	6.859479	black	100
101	1344	110	3	5.0228343	6.634833	black	101
102	1344	110	3	5.0890436	6.4085345	black	102
103	1336	110	3	11.302136	4.7960124	black	103
104	1327	110	3	8.765744	6.0186872	black	104
105	1329	110	3	8.256079	2.5109906	black	105
106	1198	110	3	8.413653	5.19167	black	106
107	1303	110	3	3.899262	3.3871324	black	107
108	1220	110	3	6.85837	4.292996	black	108
109	1334	110	3	4.4668612	5.058193	black	109
110	1333	110	3	11.6123295	4.9099417	black	110
111	1317	110	3	6.1618037	7.7084846	black	111
112	1315	110	3	8.876788	8.068757	black	112
113	1318	110	3	5.791948	2.9778545	black	113
114	1329	110	3	8.884674	3.4516084	black	114
115	13	4	3	9.60024	2.0121398	black	115
116	1318	110	3	5.557278	2.7587614	black	116
117	494	110	3	10.808034	6.519745	black	117
118	1328	110	3	11.592413	3.9392734	black	118
119	1344	110	3	5.4457893	6.3619328	black	119
120	1298	110	3	8.251203	8.085658	black	120
121	1347	110	3	10.772035	5.0506454	black	121
122	1329	110	3	10.205161	3.6157887	black	122
123	1334	110	3	4.3183856	4.974948	black	123
124	408	110	3	4.9681163	5.2591715	black	124
125	1303	110	3	3.9650517	3.2841496	black	125
126	1328	110	3	11.373966	4.162488	black	126
127	1026	110	3	6.591239	2.8307586	black	127
128	1328	110	3	11.47464	3.808985	black	128
129	1292	110	3	9.791442	7.703091	black	129
130	1258	110	3	6.1749296	4.8938794	black	130
131	913	110	3	5.9100914	4.973983	black	131
132	14	110	3	8.045656	4.3487535	black	132
133	1329	110	3	8.38725	2.0894284	black	133
134	356	110	3	10.402664	6.962497	black	134
135	1187	110	3	5.838468	3.671342	black	135
136	1165	110	3	5.1764507	3.5016727	black	136
137	1334	110	3	4.8131976	5.005327	black	137
138	1347	110	3	9.183454	5.1384883	black	138
139	1329	110	3	10.41046	3.7052348	black	139
140	1238	110	3	10.632154	5.4898815	black	140
141	213	110	3	8.668206	4.004562	black	141
142	1221	110	3	8.015357	4.855084	black	142
143	1289	110	3	10.902226	4.7535253	black	143
144	1328	110	3	11.821826	4.2463555	black	144
145	1294	110	3	10.57691	6.743171	black	145
146	1318	110	3	5.4288044	2.8319986	black	146
147	1334	110	3	4.681254	5.047902	black	147
148	1347	110	3	9.110341	4.916859	black	148
149	989	110	3	4.959421	3.4674094	black	149
150	15	110	3	5.6510215	2.987722	black	150
151	1282	110	3	7.526049	6.978646	black	151
152	1345	110	3	4.670479	6.6408973	black	152
153	1076	110	3	8.571201	4.6159062	black	153
154	1076	110	3	8.603185	4.5823474	black	154
155	1347	110	3	9.372915	5.182111	black	155
156	1329	110	3	8.953067	3.3686044	black	156
157	1293	110	3	4.5597105	3.9105446	black	157
158	1345	110	3	4.6328955	6.019415	black	158
159	1329	110	3	10.210819	2.994894	black	159
160	1280	110	3	7.6967893	7.326213	black	160
161	1302	110	3	4.769108	4.221598	black	161
162	1347	110	3	9.2043295	5.187388	black	162
