	cluster p value	cluster size	constituents	S	cluster q value
1318	2.5255584756793116e-73	331	SEPT6,PDGFA,IER3,FRMD4B,TPSAB1///TPSB2///TPSD1,MAFF,PIK3R3,TPM1,FNBP1,FSCN1,CSF2RB,LYN,LDLR,KLF11,TCTN3,CLSTN1,HLA-DRB1///HLA-DRB3///HLA-DRB5///LOC100996809,ISG15,LSR,BST2,PSMB9,DNAJA1,PODXL,NR2F2,IGHM,SHB,PECAM1,MECOM,IFIT3,TUBA4A,UGCG,PDGFB,IGLC1,C2,ERG,SRC,PTPRB,FCGRT,F13A1,CD59,CHSY1,TM4SF1,CX3CL1,BACH1///GRIK1-AS2,PRAF2,LDB2,TNFAIP3,HEG1,AREG,PPM1F,MEOX2,CCL14///CCL15-CCL14,HLA-DOA,PDLIM1,IQCK,DOK5,CRK,KLRD1,ATF3,CCL3,ITPR3,NPAS1,TGFB1,PRKCH,CFH,LAMA3,HES1,IFNAR2,GRK5,ETS2,AQP9,SEPT4,GJA1,NUAK1,ITPKC,TUBB4B,SGK1,STX3,MALL,PDE2A,MIR7110///PDIA5,TBX2,CLIC2,MCF2L,IER2,BCL2L1,SWAP70,EZR,HLA-DPA1,APP,KLF10,TFPI,IL1B,DOCK9,TPST1,TGFBI,INHBB,TRIB2,CCRL2,HN1L,NOTCH3,NAMPT,CDH5,DOK2,NR4A3,JAK3,TSPAN7,THBS2,ARRB2,ST6GAL1,AHDC1,LCP2,CTPS1,AGTR1,CDH13,PMM2,DCLK1,GNAZ,FLT1,FLI1,EGR3,KLF6,GATA2,IGF2///INS-IGF2,TRIM14,VGLL4,TUBA1B,ACKR1,HCLS1,CLEC2B,PDGFRB,GAS6,MEF2C,TUSC3,FOS,HLA-DRB4,CLK1,IGFBP2,PML,CDK17,HSPA1A///HSPA1B///HSPA1L,ITGAX,TRAF3IP1,SEC14L1,ARHGDIB,H3F3A///H3F3B///MIR4738,TNFRSF1B,ARL4A,CHST15,HLA-DPB1,DNAJB4,KCTD12,PRRX1,DPYSL2,PTGER2,LRMP,SOCS3,HBEGF,HLA-DRA,ENDOD1,TIAM1,ANGPT2,APOD,FCGR2A,SNAI2,FOXC1,ATP10D,PCOLCE,NFKBIA,CD74,F2R,KRAS,SPRY1,SORBS3,GLA,OAS1,SERPINB1,CLIC5,HLA-DQB1///LOC101060835,SLC2A3,UPP1,CD48,IFITM2,FBLN1,SASH1,MYO1B,HLA-E,NR4A1,CD93,CXCL12,CLDN5,CLIP2,IGFBP4,MAT2A,MFGE8,DPYSL3,PKP4,CD44,ZFP36L1,CYTH1,STAB1,CD34,SOCS2,P2RY14,ATP1B1,CCL8,PARM1,IRF1,IFITM1,FOSB,KIAA1462,MYC,VPRBP,RNASE1,MCL1,VWF,CTGF,GJA4,ELMO1,CD83,SNRPB,MTHFD2,TNFAIP6,RGS5,BHLHE40,HLA-DQB1///HLA-DRB1///HLA-DRB3///HLA-DRB4///HLA-DRB5///HLA-DRB6///LOC100996809///LOC101060835,KCNAB1,SPRY2,S1PR1,ABLIM3,UBE2L6,IFI27,OLFM1,PPP1R15A,RAPGEF5,BTG2,GPRC5B,TGFB3,LAMA5,LAMA2,CASP4,TGFB1I1,OLFML2A,MEOX1,TEK,IFI16,BIRC3,DUSP1,ADCY1,VAMP8,IGH///IGHA1///IGHA2,ACTR2,ERF,KIAA0355,PTPRD,LSM7,PPBP,SH2B3,SERPINE1,FGL2,KLF4,EXT1,OLFML2B,GPR116,MSX1,CXCL8,MAP3K1,ICAM2,IGFBP3,ENG,CSRP1,GUCY1A3,POSTN,PCDH1,COL6A3,PLSCR1,JUNB,OLFML1,CDC42BPA,MAP3K11,CD55,ANXA3,ZNF217,EFNB2,NR4A2,CSF1R,CXCL2,RAPGEF3,DUSP7,SPARCL1,CDH11,TBXAS1,AEBP1,CRIP2,GPSM3,RAPGEF2	296	3.41202950064275e-70
1274	1.3402715760284408e-32	130	SRSF6,GDF10,CPD,EMILIN1,LYN,CSPG4,LYL1,SAMHD1,NDUFA6,TMED3,DYNC1LI2,DLC1,ALDH1A3,PTGER4,ARFGAP3,INPP1,GPR137B,CHI3L1,CLCN7,DUSP10,ST3GAL5,SEPT10,TCIRG1,MYOC,OSMR,DAB2///LOC101926921,PRMT1,TXNRD1,PDIA6,YWHAQ,TIMP1,ZBTB18,ANXA4,RABGAP1L,SDC4,REV3L,MIR6787///SLC16A3,SLC7A1,ARPC5,AMPD3,DAZAP2,DUSP6,STX2,PTTG1IP,HERPUD1,VOPP1,SFN,PXDC1,MIF,PPT1,FYN,CTSL,EIF4A1///LOC101928634///SENP3-EIF4A1///SNORA48///SNORA67///SNORD10,RAP2A///RAP2B,PRKCI,NID1,GBA///GBAP1,TES,RAP2A,RRS1,CCR1,ARHGAP4,PRSS23,GNB1,SMC4,CXCL1,CSHL1,CD97,AKR1B1,SCRN1,RALB,PLEKHB2,ACP2,RAC1,CAPZB,RAN,HNRNPAB,SLC25A44,PDK3,MEGF8,HSPA8///SNORD14C///SNORD14D,TPM4,GCLM,BAMBI,FARP2,NUP188,TRIM44,FAM114A1,KCND2,PHLDA2,PPP1R13B,SNRPB,LHFPL2,TMEM123,AHNAK2,ALCAM,ADM,MKL1,FEZ1,CD9,SFPQ,TRAM2,SLC33A1,TFRC,ARPC1B,TYMP,RRAS2,ITGB5,EXT1,RP2,SNAPC2,FAM171A1,OXT,TAGLN2,ELN,DKFZp686K1684///RCN1,CKAP4,MIR636///SRSF2,ERBB2,SUN1,PRCP,TAPBP,RAB8A,RGS2	124	9.053534496072118e-30
1334	8.949657481682777e-29	160	SLC30A1,HTRA1,AQP3,DTYMK,CTSD,LRRC17,ZYX,MMP2,RHOA,ISG15,HLA-F,MAX,HABP4,RBMS1,PIM1,MIR6872///SEMA3B,SLC9A8,CALD1,CADM3,STEAP1,BMP2,LAMC1,YWHAB,GMFB,MAN2A1,ABCC1,HYOU1,ODC1,DUX4L19///DUX4L19,NCALD,NSMAF,LOX,LRP1,SLC38A10,YWHAQ,KDELR3,SVEP1,ENPP2,ROR1,ADAM9,CALU,PIK3R1,FCER1A,CDC42EP4,GAA,FARP1,SLC39A7,AOX1,BTN3A2,KCNK3,XYLT1,IL15,COL6A1,SNAPC5,FYN,PALLD,ITGB4,PTPRM,HTATIP2,COL6A2,RET,ARF6,RAB13,MAN1A1,CD63,TMCO1,ARPC2,DAPK3///MIR637,STAT3,STK38,THY1,COMT,COL1A2,SRPX2,EFR3A,NPR3,PLD3,PCDH9,SLIT2,KAT8,ADCY7,TRAK2,TGFBR2,NRCAM,MVP,PENK,AP2M1,BICC1,CSNK1A1,COL16A1,AIMP2,CXCL12,FN1,CD2BP2,ADAM17,ROCK2,PKD2,FGF1,RPS6KA1,CFB,STK17A,PLIN2,SMPD1,MSC,CLIP1,IRAK1,BTN3A3,TNFRSF11B,DIXDC1,TFDP1,PRKCA,TIMM17A,OBSL1,SH3BGRL,TGOLN2,MAF,PPP2R4,MFAP5,PTGDS,CCDC94,LASP1,MN1,FBN1,RND3,FKBP9,IQSEC1,HSPA5,FADD,PRDX4,LOC101930303///TRIM16///TRIM16L,PPIL2,GADD45A,HPRT1,CAP1,LPCAT1,ABCC3,LRP10,SUMO3,MARCKS,CAPN2,HEXA,TPM2,STX16,RARA,ID2///ID2B	145	4.030329085917811e-26
1280	2.0456206409193907e-16	292	MCCC2,CGGBP1,CHRFAM7A///CHRNA7///LOC101929970///LOC101930361,PSMD3,FHIT,ACADL,GNPAT,TCEAL1,PELP1,GAB2,PHGDH,PTPRK,GTPBP1,SUCO,ZNF253,ZCCHC11,ACADM,TAF5L,USP2,ABHD14A,DNPH1,RNF41,ARHGEF2,FADS1///MIR1908,TBL1X,CA5B,ENOSF1,GYPB,KCNH2,INPP4A,LINC01138,NDN,RAP2B,UNC13B,MUT,TAF4,TM7SF2,FDFT1,KDM4C,CAPN7,ABCD3,PDHB,C21orf33,CYP26A1,POLR2J,PPP2R5A,GYPC,DNAJB12,DOK1,ALDH1L1,SSR4,SUCLG2,TIAL1,PRPF19,SLC1A5,BNIP3L,AQP7///AQP7P1///LOC100509620///LOC101930168///LOC102724655,SGCG,PCCA,ADAM12,ABCF2,NR1D2,AQP6,MAGI1,ANKMY2,MTHFS///ST20///ST20-MTHFS,MRPL33,AK2,CCDC69,LOC101928830///LTA4H,SLC7A6,CAMK4,ZNF384,CADM1,CBFA2T2,INSR,ABCF3,ACAT1,BTG1,VEGFA,HELZ,UBE3A,ANKS1A,AGPAT2,KHK,TAF12,KXD1,HDLBP,GCDH,TFAP2A,AZGP1,HIBCH,UCKL1,SLC25A36,CYTH3,DECR1,UVRAG,ABCD1,MTMR4,ISCU,UBE3B,XRCC6,SS18,PGAM2,ERBB3,PDE8A,NR1I3,CNNM2,TBX10,COASY,ABHD14A-ACY1///ACY1,DDT///DDTL,SKIV2L,TFEB,CS,GSAP,SETD3,DDHD2,LOC391322,ECI1,CALM1,CACNA1F,ANXA6,PDXK,NEK3,PAEP,SP1,CNPY2,CLPTM1,BCAP31,C11orf52///HSPB2///HSPB2-C11orf52,HRSP12,ENSA,ERN1,MGST2,SRP14,TRBV5-2///TRBV5-2,SLC25A1,MIR6778///SHMT1,SETDB1,SYNM,LGALS3BP,CASP9,DGKD,SATB1,ADD1,HOXA10,C1orf61,PRCC,ERCC8,NR2C2,AKT2,BCKDHB,MMP13,MRPS27,SAMM50,RABEP1,COX7A1,MRS2,AOC3,SLC9A1,CYB5A,CXCL10,PHF21A,HS6ST1,APOC1,DAP3,XRCC3,COX5B,YIPF2,RALGPS1,CCDC28A,CYC1,S100B,DCC,RIMS3,GTF2H4,EPHA3,ASCC2,SMCHD1,CDK16,HADHA,TOM1L1,BCAT2,GPER1,ATP6V1C1,LDLRAD4,CLPP,NUDT1,KLK8,CCL17,LOC101930112///SPG7,LETMD1,TKT,PCCB,CHD4,ERCC1,VPS39,CCR2,ANGEL1,CXCR5,SDHA,LDOC1,SC5D,GOLGA8A,NBN,BLK,BCAS1,PEX1,RTN4,RPL22,NDUFV2,UQCRQ,SPHK2,GRIP1,ADIPOQ,GCSH///LOC101060817///LOC729080,ATP5D,MATN1,EMX1,CAMK1,MGST3,NEMF,NMU,MLEC,MYOM2,UBA2,MXRA8,DRD4,STK25,SEC31B,SMARCA5,MIR612///NEAT1,PFKL,KIAA1045,AAMP,RALA,ICAM3,KAL1,YTHDC1,ATG14,GCHFR,VHL,KRIT1,MAP2K6,TBC1D4,PBX1,LDHA,LOC100289561,RBM5,SLC9A3R1,IDH3B,BCL2,NEK9,THRA,KLHL21,POM121L2,TMEM262,MNT,TRAIP,SUPV3L1,COA1,MYL6,KCNC1,ACTG1P4///AMY1A///AMY1B///AMY1C///AMY2A///AMY2B,ADAM22,GSTT1,DDX19B,ACACB,AUH,ADORA1	271	6.909083714705243e-14
1302	3.5975262950705926e-15	45	C1R,IGF2R,RARRES3,PDCD10,S100A10,TNNC2,HSPG2,MAP4,MAP1B,HLA-F,MSN,DYNC1I2,FLNA,RBMS1,ATRN,TAGLN,KDELR2,OAS1,CPQ,BAX,RALY,HLA-A,DNMT1,STC2,C1S,CKS2,LOC101928916///NNMT,TNFRSF14,CAPNS1,HSD11B1,PTRF,PLTP,SYK,CIZ1,CA12,SLIT3,IFNAR2,ITGAL,ANXA11,MED20,THBS1,LOC100506403///LOC101928269///RUNX1,PEMT	43	9.720516049280741e-13
1293	4.07846287612296e-12	57	LMNA,GDF10,MDK,CREM,ADAM10,DUSP5,KRAS,IFI30///PIK3R2,SERPINA1,ZFP36L2,CFH///CFHR1,NAGA,IGJ,CD4,MSL3,EMP3,AMD1,FCGRT,P2RX4,FOLR2,CD14,RRBP1,IGHG1///IGHG2///IGHG3///IGHG4///IGHM///IGHV4-31///MIR8071-1///MIR8071-2,JPH3,CLIC1,IGK///IGKC,SPP1,FGF7,PSME1,HSPA8///SNORD14C///SNORD14D,CYBB,NTHL1,SP110,HSPA13,HIF1A,IGFBP6,RASSF2,DLGAP4,NRP2,COL1A1,MYO10,ATP2B1,NPC2,SRGAP2///SRGAP2B///SRGAP2C,RAP2A,CASP7,CHST3,HNRNPM,GUSBP11,OSTF1,CCDC85B,PHF2,IL27RA,IL1RN,MMP9	55	9.183338909403532e-10
1298	1.887756110783126e-08	115	CTAGE5,HSPB11,SMAD2,FNBP1L,HNRNPA0,ATP5B,NR3C1,LRIG1,CLK3,H1F0,FAM120A,ZNF91,PRUNE,RAB40C,KIAA1033,ZZZ3,DST,ACADS,IGBP1,UQCRB,DUT,ZNF415,SMAD4,ESD,TYRO3,PHYH,TBL2,GLUL,LIAS,BTF3,MAPKAPK3,BIVM-ERCC5///ERCC5,GMPS,NKRF,CTNNAL1,S100A1,TCEB2,RPA1,INTS3,CDC14BL,ARFGEF1,TCRDV2///TRDC///TRDC///YME1L1,ARHGAP1,EIF2B4,RAB4A///SPHAR,PART1,RABGGTB,MKRN1,SLC25A6,TBPL1,SRRM1,STAT5A,NFKBIL1,HDAC3,NME6,CTDSP2,CEP57,FAM134C,CALCRL,POLR2E,GNB2L1///SNORD95///SNORD96A,TGDS,GEMIN2,CD302///LY75///LY75-CD302,ZNF629,DRG1,SMARCC2,TBC1D1,RBL2,ARHGEF6,APPBP2,YME1L1,NFAT5,RBPMS,LOC102724200,NPRL2,TMEM106C,VAMP3,HADH,CCDC144B///USP32///USP32P1///USP32P2///USP6,ZNF148,RCOR1,NDUFB7,DDR1///MIR4640,BNIP3,ETFA,OGT,ADNP,LOC101927458///LPHN2,CERS6,UBR5,RNF126,EIF2B5,FGF2,LRRC41,STK25,KDM3B,SMARCA1,CACTIN,MTMR1,ORC5,GPR107,KRR1,CAND1,SLC35A2,MSL1,TCEA1,FLII,RPL37,RECQL4,NDUFS7,ALDH6A1,CBX1,LOC100507577///LONP2	114	3.643369293811433e-06
1017	7.488385355456673e-08	19	MEST,PCSK5,TMSB10,ADAM12,TUG1,BST1,ACSL4,PLEKHO2,NAT1,SGCE,CSTA,TXN,ITGAV,RHOC,CYP7B1,FLOT1,ABCC1,EFEMP1,CNPY3	19	1.2646010769027457e-05
1317	9.963507396336336e-08	414	FH,DOLPP1,TRO,BLVRB,MPV17,EBAG9,PTS,PEX14,COG2,C5orf45,LPIN1,CELF3,ADRBK2,ALDH1B1,VPS45,FGR,IMP4,PREPL,RNMT,DHX29,HSD17B10,FAM47E///FAM47E-STBD1///STBD1,PTGER3,SLC25A4,C5orf15,ADRA2A,NDUFB1,RAD23A,DLD,DGAT1,MTRR,HIST1H2AK,GORASP2,ACO2,CECR7,PRDX3,SPRYD7,ANAPC10,FUT7,RRAGD,CUL1,FADS2,DOLK,R3HDM1,CETN3,FBXW11,RPA3,DDIT4,LINC00657,PRKAA1,ARFIP1,STRN3,CITED2,ARL6IP1,PLK1,PDZRN3,MME,ARID4B///RBM34,MRPL19,STRAP,GART,GOLGA4,PFDN1,PRPF3,MPI,NDUFB3,ADK,BCL6,TCF12,TERF2,APITD1///APITD1-CORT,NDUFAB1,PIK3CA,COPS8,TST,RPL22,KLHDC10,BIN1,HIST1H2BC///HIST1H2BE///HIST1H2BF///HIST1H2BG///HIST1H2BI,NPTXR,IGF1,NEK4,FARSA,NDUFAF3,ME1,HAX1,NPR2,C3orf62///MIR4271///USP4,PPP4C,BFSP2,THRA,ENO2,ATP5C1,PAK4,ACLY,GAPVD1,IBTK,SNORA29///TCP1,HSF2,PRKDC,ECH1,OXCT1,SDR39U1,NR3C1,ATP2B4,DFFA,NCOA4,NFIA,USP9X///USP9Y,DCAF8,UQCRC2,TUBG1,NHP2,PTPLB,EXD2,ANXA2,CALM1///CALM2///CALM3,C21orf33,C11orf80,HNRNPC,GNAI1,CDK7,NDUFA1,ZER1,ICT1,NR1H3,TSPAN3,NIT1,LOC101930392,CASQ2,ST13,UQCRC1,TRIOBP,SLC16A7,SLC5A6,GTF2I///GTF2IP1///LOC100093631,ZDHHC17,MRPS14,PEX7,NDUFA7,ATRX,SBF1,DDT///DDTL,DHCR7,PIKFYVE,PGM1,MTHFD1,GJA8,ACSL1,EPHB2,CYB5B,CCNC,DCUN1D4,NCLN,PRKAR1A,DNAJA2,PEX10,LHCGR,CAST,COPS7A,TGDS,PTPN4,NDUFS1,SLC25A3,THAP11,HIST2H2BE,ARFIP2,PITRM1,UQCRFS1,TNFRSF21,MOB1A,RAP1A,HSPA12A,CLASP2,AK4///LOC100507855,HSPD1,TRAK1,TTC37,NDUFA2,CAV2,MRPL28,IGFBP5,USP4,IRS1,MRPL12///SLC25A10,DLAT,TAB2,CKS1B,UBE4B,ST3GAL2,SLC16A2,MYL5,FERMT2,HIST2H2AA3///HIST2H2AA4,IQCE,APOB,MPRIP,NECAB3,MAD2L1BP,NMT1,IFRD1,PGRMC1,FNTA,CDKN2C,ABL1,UBE3C,SUOX,DCTN6,NR2C1,ZNF267,SDHB,C22orf24,NDUFS3,PARK7,PMS2P1,TECR,ATXN7L3B,COL8A1,SLC25A5,ITGB1BP1,ABCD2,GABRE///MIR224///MIR452,UBA3,INPP5K,CADM1,ATP2A2,YTHDF3,ORC4,STK3,SRPK2,BET1,DMTN,TRAPPC6A,NDUFB5,HMGCR,MYL3,CLUH,CRADD,PFKFB1,UBXN2B,RRM1,ATP5A1,AIFM1,ATP5S,DHFR,GHITM,GTF2E2,ANO3,TF,TAF6L,PEX19,CD164,HOXB2,ATP6V0C,MSH3,LOC441259///PMS2///PMS2P1///PMS2P5///PMS2P9,RAB11FIP3,ABCC10,PTPN3,GPR37///SEL1L2,ZMYM2,ABCC9,PMPCA,CLTC,PPP2R1A,AHCYL1,MAP3K13,GUK1,DR1,NCAPD2,TMEM186,GDPD5,RHOQ,SRSF5,SHC3,DLG1,PRPSAP1,MFAP1,ACSL3,VDAC2,USP9X,GRSF1,RAB21,ALDOC,LOC101929880///QPRT,GYS1,FAM214B,LARP1,ESYT1,CHAF1A,TRIP12,OCRL,TJP2,BMPR1A,LIN37,ETFDH,CHP1,FHIT,VAMP4,PTEN///PTENP1,INE1,RHOBTB3,HMGN3,LOC100287387,UROS,HIST1H4A///HIST1H4B///HIST1H4C///HIST1H4D///HIST1H4E///HIST1H4F///HIST1H4H///HIST1H4I///HIST1H4J///HIST1H4K///HIST1H4L///HIST2H4A///HIST2H4B///HIST4H4,GPC3,TULP3,MAST3,NUPL2,AGL,LSM12,PEX11A,POLD2,PARG,CDV3,GLYAT,NOP2,PLEKHM1,DNAJB5,FBXO9,NDUFC1,FGF13,XPO1,TOM1,SLC4A4,PDK1,HSP90AB1,NUP88,PIAS2,AKT3,DYNC2LI1,COPS5,INPP5A,OSBPL1A,NR2F6,SLC25A16,COX4I1,ALDH7A1,IARS2,RTCA,ZRSR2,NDUFAF1,PARP2,U2SURP,PC,CHMP2B,RYBP,PPARG,CEP170B,CCNT2,AKT2,TALDO1,TOMM70A,STARD7,GATAD1,SH3GLB1,ERVH-6,SRPR,PYGL,COX5A,HPX,SDHD,CKMT2,CCNE1,PHKB,MYL6B,PTP4A1,MICU1,CYB5R1,TCF20,COX6B1,VBP1,AGT,TRIM2,EIF2S3,PMS2///PMS2CL,OPA1,FGF2,ECHS1,SEC22B,NDUFS2,MMS19,ITPR2,ADAMDEC1,RCAN2,IPO5,SCD,AKAP10,SLC1A3,GPN1,ACOT1///ACOT2,SF1,HUWE1,SH3BGR	395	1.495633165827821e-05
989	2.912956524153995e-07	25	RPIA,ACYP1,RHOG,LRRFIP1,IGF1R,CDC25B,ZFP36L2,MYD88,JUN,MAP4K4,SERPINE1,UGDH,IQCK,FAIM3,DBN1,ZNF148,IGFBP2,BASP1,SLC20A1,MCL1,EGR2,ACVRL1,LOC101929597///TBCD,VCAN,DNM1	25	3.935404264132047e-05
